"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22448","EditNameOfActiveStock_ExistingName","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditNameOfActiveStock_ExistingName"
"Edit SubType: Cost must be numeric
","14962","Test_EditSubType_Rule5_InvalidCostFormat","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_Rule5_InvalidCostFormat"
"","20451","Test_AddSubTypeWithValidData","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_AddSubTypeWithValidData"
"","37497","EditMultipleFieldsInSequence","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditMultipleFieldsInSequence"
"","25769","EditCostOfInactiveStock_ValidCost","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCostOfInactiveStock_ValidCost"
"","20704","AddStockItemWithValidData","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithValidData"
"","17941","AddStockItemWithBlankCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithBlankCost"
"","20879","EditDescriptionOfActiveStock_NullDescription","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditDescriptionOfActiveStock_NullDescription"
"","24289","EditCategoryOfInactiveStock_ValidCategory","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCategoryOfInactiveStock_ValidCategory"
"Edit SubType with Blank Cost
","20011","Test_EditSubType_WithBlankCost","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithBlankCost"
"","18082","EditQrCodeOfActiveStock2","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditQrCodeOfActiveStock2"
"","24041","EditQRCodeOfActiveStock_WithSpecialCharacters","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditQRCodeOfActiveStock_WithSpecialCharacters"
"","22523","Test","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test"
"","19866","EditPartNumberOfActiveStock_ValidPartNumber","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditPartNumberOfActiveStock_ValidPartNumber"
"","19438","AddStockItemWithNameAlreadyExistsDifferentStatus","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithNameAlreadyExistsDifferentStatus"
"","19152","EditStatusOfActiveStock","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditStatusOfActiveStock"
"","23611","AddStockItemWithCostZero","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithCostZero"
"","18981","EditStatusOfInActiveStock","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditStatusOfInActiveStock"
"","11099","selectMovementType4","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectMovementType4"
"","16549","EditInformationExistingActiveProductionShiftGroup","TestX","2026-05-20","failed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","EditInformationExistingActiveProductionShiftGroup"
"","24482","EditStatusOfInActiveStock_ToInactive","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditStatusOfInActiveStock_ToInactive"
"","49664","EditInformationExistingInActiveProductionShiftGroup","TestX","2026-05-20","broken","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","EditInformationExistingInActiveProductionShiftGroup"
"","22547","SearchWithPartNumberFilterOnly_DisplaysCorrectResults","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","SearchWithPartNumberFilterOnly_DisplaysCorrectResults"
"Rule 3b: Cost field is required - Error msg: This field is required
","13501","Test_Rule3b_CostFieldRequired","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule3b_CostFieldRequired"
"","11544","selectMovementType2","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectMovementType2"
"Edit SubType: Decimal cost with precision
","13791","Test_EditSubType_DecimalCostPrecision","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_DecimalCostPrecision"
"","17116","AddStockItemWithCostSmallerThan0","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithCostSmallerThan0"
"","18777","EditPartNumberOfActiveStock_NullPartNumber","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditPartNumberOfActiveStock_NullPartNumber"
"Edit SubType: Boundary - Zero cost is allowed
","45218","Test_EditSubType_Boundary_ZeroCostAllowed","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_Boundary_ZeroCostAllowed"
"","21189","TestDeleteShiftType","TestX","2026-05-20","passed","2026-05-20","Production_Shift_Type_ConfigTest","PeoTest","Production_Shift_Type_ConfigTest","TestDeleteShiftType"
"","12293","selectSite1","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectSite1"
"","24746","ResetFilter_ClearsAllFiltersAndShowsAllResults","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","ResetFilter_ClearsAllFiltersAndShowsAllResults"
"","16311","AddNewProductionShiftGroupWithInactiveStatus","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","AddNewProductionShiftGroupWithInactiveStatus"
"","21891","EditNameOfActiveStock_ValidName","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditNameOfActiveStock_ValidName"
"","18645","EditUnitsOfActiveStock_ValidUnit","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditUnitsOfActiveStock_ValidUnit"
"Rule 5b: Cost with special characters - Error msg: Please enter a valid number
","16602","Test_Rule5b_CostWithSpecialCharacters","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule5b_CostWithSpecialCharacters"
"","21733","DeleteActiveStock","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","DeleteActiveStock"
"","24833","TestFilterByEquipmentExits","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByEquipmentExits"
"","17784","AddNewProductionShiftGroupWithBlankName","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","AddNewProductionShiftGroupWithBlankName"
"Rule 5: Cost must be numeric - Error msg: Please enter a valid number
","21170","Test_Rule5_InvalidCostFormat","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule5_InvalidCostFormat"
"","18617","EditQRCodeOfActiveStock1","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditQRCodeOfActiveStock1"
"","18702","EditCostOfActiveStock_NegativeCost","TestX","2026-05-20","failed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCostOfActiveStock_NegativeCost"
"","20270","EditPartNumberOfActiveStock_MaxLengthValue","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditPartNumberOfActiveStock_MaxLengthValue"
"Edit SubType: Verify all fields can be updated together
","43069","Test_EditSubType_UpdateAllFields","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_UpdateAllFields"
"","18120","selectMovementType","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectMovementType"
"","26576","Test","TestX","2026-05-20","passed","2026-05-20","Production_Shift_Type_ConfigTest","PeoTest","Production_Shift_Type_ConfigTest","Test"
"Rule 2: Cannot create type if that type is created before - Error msg: Selected type already exists
","43409","Test_Rule2_DuplicateTypeError","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule2_DuplicateTypeError"
"","14702","TestFilterByEquipmentNotExits","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByEquipmentNotExits"
"","24638","AddStockItemWithSpecialCharactersInName","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithSpecialCharactersInName"
"","46459","AddNewProductionShiftGroupWithAlredyExistsName","TestX","2026-05-20","broken","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","AddNewProductionShiftGroupWithAlredyExistsName"
"","17850","Test","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","Test"
"","21127","TestAddNewShiftType","TestX","2026-05-20","passed","2026-05-20","Production_Shift_Type_ConfigTest","PeoTest","Production_Shift_Type_ConfigTest","TestAddNewShiftType"
"","48341","TestCombinedFilters","TestX","2026-05-20","broken","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestCombinedFilters"
"","16702","Test","TestX","2026-05-20","passed","2026-05-20","DemoTest","PeoTest","DemoTest","Test"
"","23096","AddStockItemWithVeryLargeCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithVeryLargeCost"
"","10655","selectSite2","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectSite2"
"","32348","EditCostOfActiveStock_NegativeCost","TestX","2026-05-20","failed","2026-05-20","DemoTest","PeoTest","DemoTest","EditCostOfActiveStock_NegativeCost"
"","23364","AddStockItemWithDecimalCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithDecimalCost"
"","19265","DeleteInactiveStock","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","DeleteInactiveStock"
"","15771","SearchwithValidValue","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","SearchwithValidValue"
"","17283","AddStockItemWithBlankName","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithBlankName"
"","21688","EditQRCodeOfActiveStock_MaxLength","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditQRCodeOfActiveStock_MaxLength"
"","25931","EditPartNumberOfActiveStock_WithSpecialCharacters","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditPartNumberOfActiveStock_WithSpecialCharacters"
"","22702","EditStatusOfExistingProductionShiftGroup","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","EditStatusOfExistingProductionShiftGroup"
"","23511","Test","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","Test"
"","21929","EditDescriptionOfActiveStock_ValidDescription","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditDescriptionOfActiveStock_ValidDescription"
"","22288","AddStockItemWithNameMaxLength","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithNameMaxLength"
"","25163","EditNameOfInactiveStock_ValidName","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditNameOfInactiveStock_ValidName"
"","23497","SearchWithCombinedFilters_DisplaysOnlyMatchingResults","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","SearchWithCombinedFilters_DisplaysOnlyMatchingResults"
"","16417","SearchwithInvalidValue","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","SearchwithInvalidValue"
"","18626","EditUnitsOfActiveStock_AnotherUnit","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditUnitsOfActiveStock_AnotherUnit"
"","14583","selectSite3","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectSite3"
"","17262","AddStockItemWithCostContainsNonNumericCharacters","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithCostContainsNonNumericCharacters"
"","15851","TestFilterByBitNumberExits","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByBitNumberExits"
"Edit SubType with blank name
","20170","Test_EditSubType_WithBlankName","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithBlankName"
"","20095","EditCostOfActiveStock_NullCost","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCostOfActiveStock_NullCost"
"","11519","selectMovementType1","TestX","2026-05-20","broken","2026-05-20","AddNewMovementTest","PeoTest","AddNewMovementTest","selectMovementType1"
"Edit SubType with name already exists
","44530","Test_EditSubType_WithNameAlreadyExists","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithNameAlreadyExists"
"","15068","TestFilterByValidDateRange","TestX","2026-05-20","passed","2026-05-20","DrillbitsTest","PeoTest","DrillbitsTest","TestFilterByValidDateRange"
"","17545","AddStockItemWithNonExistingUnits","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithNonExistingUnits"
"Rule 3c: Sequence field is required - Error msg: This field is required
","12729","Test_Rule3c_SequenceFieldRequired","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule3c_SequenceFieldRequired"
"","38636","EditUnitsOfActiveStock_ChangeMultipleTimes","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditUnitsOfActiveStock_ChangeMultipleTimes"
"","20297","EditUnitsOfActiveStock_NonExistingUnit","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditUnitsOfActiveStock_NonExistingUnit"
"","24160","DisplayInactiveCheckbox_TogglesInactiveItems","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","DisplayInactiveCheckbox_TogglesInactiveItems"
"Edit SubType: Cost cannot be negative
","44611","Test_EditSubType_Rule4_NegativeCostError","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_Rule4_NegativeCostError"
"Boundary: Cost equals zero is allowed
","17277","Test_Boundary_ZeroCostAllowed","TestX","2026-05-20","passed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Boundary_ZeroCostAllowed"
"","19774","EditCategoryOfActiveStock_ValidCategory","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","EditCategoryOfActiveStock_ValidCategory"
"","17500","AddNewProductionShiftGroupWithActiveStatus","TestX","2026-05-20","passed","2026-05-20","Production_Shift_GroupTest","PeoTest","Production_Shift_GroupTest","AddNewProductionShiftGroupWithActiveStatus"
"Edit SubType with Blank Sequence
","13463","Test_EditSubType_WithBlankSequence","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithBlankSequence"
"","14388","Test","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","Test"
"Rule 4: Cost cannot be negative - Error msg: Cost cannot be negative
","14362","Test_Rule4_NegativeCostError","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_Rule4_NegativeCostError"
"","16350","AddStockItemWithBlankUnits","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","AddStockItemWithBlankUnits"
"Edit SubType: Boundary - Large cost value
","43255","Test_EditSubType_Boundary_LargeCostValue","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_Boundary_LargeCostValue"
"","20662","TestAddNewBlankShiftType","TestX","2026-05-20","failed","2026-05-20","Production_Shift_Type_ConfigTest","PeoTest","Production_Shift_Type_ConfigTest","TestAddNewBlankShiftType"
"","24898","SearchWithNameFilterOnly_DisplaysCorrectResults","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","SearchWithNameFilterOnly_DisplaysCorrectResults"
"Edit SubType with valid Information
","15051","Test_EditSubType_WithValidInformation","TestX","2026-05-20","broken","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithValidInformation"
"","19345","SearchWithCategoryFilterOnly_DisplaysCorrectResults","TestX","2026-05-20","passed","2026-05-20","Stock_CatalogueTest","PeoTest","Stock_CatalogueTest","SearchWithCategoryFilterOnly_DisplaysCorrectResults"
"Edit SubType with valid name
","23850","Test_EditSubType_WithValidName","TestX","2026-05-20","failed","2026-05-20","StockItemSubTypeTest","PeoTest","StockItemSubTypeTest","Test_EditSubType_WithValidName"
